ts,flow_duration,Header_Length,Source IP,Destination IP,Source Port,Destination Port,Protocol Type,Protocol_name,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,Label
1701581789,30.39080596,7160,172.16.63.128,172.16.65.128,41596,8888,6,TCP,64,0.954235963,0.954235963,0,0,0,0,0,1,0,0,0,0,4,0,12,27,1701581789,1701581759,49345871032,1701581760,5.538402444,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1036,66,84,74,7.309485032,66,0.063862085,14,808448,12.16552506,10.33717287,53.42857143,1,196,0,0,0,0,30.28496003,30.39080596,discovery
1701581789,30.39291787,7226,172.16.63.128,172.16.65.128,41596,8888,6,TCP,64,0.987072058,0.987072058,0,0,0,0,0,1,0,0,0,0,4,0,12,28,1701581789,1701581759,51047452821,1701581761,7.571577811,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1102,66,84,73.46666667,7.338180216,66,0.002111912,15,808448,12.12160605,10.37775399,53.84888889,1,225,0,0,0,0,0.002111912,30.39291787,discovery
1701581789,30.39357495,7292,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,1.019952409,1.019952409,0,0,0,0,0,1,0,0,0,0,4,0,12,29,1701581789,1701581759,52749034610,1701581762,8.974248549,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1168,66,84,73,7.331439149,66,0.000657082,16,808448,12.08304597,10.36822068,53.75,1,256,0,0,0,0,0.000657082,30.39357495,discovery
1701581789,30.39568686,7358,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,1.052780947,1.052780947,0,0,0,0,0,1,0,0,0,0,4,0,12,30,1701581789,1701581759,54450616399,1701581762,10.03898923,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1234,66,84,72.58823529,7.300755993,66,0.002111912,17,808448,12.04891989,10.32482814,53.30103806,1,289,0,0,0,0,0.002111912,30.39568686,discovery
1701581820,61.11016893,7424,172.16.63.128,172.16.65.128,41596,8888,6,TCP,64,0.540008326,0.540008326,0,0,0,0,0,1,0,0,0,0,4,0,12,31,1701581820,1701581759,56152198219,1701581764,13.93305325,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1038,66,85,74.14285714,7.510536816,66,0.168735981,14,808448,12.17726218,10.62150303,56.40816327,1,196,0,0,0,0,30.71448207,61.11016893,discovery
1701581820,61.11228085,7490,172.16.63.128,172.16.65.128,41596,8888,6,TCP,64,0.556352987,0.556352987,0,0,0,0,0,1,0,0,0,0,4,0,12,32,1701581820,1701581759,57853780039,1701581766,16.62799695,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1104,66,85,73.6,7.534808115,66,0.002111912,15,808448,12.13260071,10.65582783,56.77333333,1,225,0,0,0,0,0.002111912,61.11228085,discovery
1701581820,61.11300802,7556,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,0.572709496,0.572709496,0,0,0,0,0,1,0,0,0,0,4,0,12,33,1701581820,1701581759,59555361859,1701581767,18.68843708,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1170,66,85,73.125,7.523920188,66,0.000727177,16,808448,12.09338662,10.64042997,56.609375,1,256,0,0,0,0,0.000727177,61.11300802,discovery
1701581820,61.11511993,7622,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,0.589052268,0.589052268,0,0,0,0,0,1,0,0,0,0,4,0,12,34,1701581820,1701581759,61256943678,1701581769,20.33793005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1236,66,85,72.70588235,7.489323427,66,0.002111912,17,808448,12.05868006,10.59150276,56.0899654,1,289,0,0,0,0,0.002111912,61.11511993,discovery
1701581835,76.01640487,7688,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,0.486737041,0.486737041,0,1,0,0,0,1,0,0,0,1,4,0,12,35,1701581835,1701581759,62958525513,1701581771,22.72385016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,132,66,66,66,0,66,0.017408848,2,808448,11.48912529,0,0,0,4,0,0,0,0,14.90128493,76.01640487,discovery
1701581835,76.01851702,7754,172.16.65.128,172.16.63.128,8888,41596,6,TCP,64,0.499878207,0.499878207,0,1,0,0,0,1,0,0,0,2,4,0,12,36,1701581835,1701581759,64660107348,1701581772,24.65515619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,198,66,66,66,0,66,0.00211215,3,808448,11.48912529,0,0,0,9,0,0,0,0,0.00211215,76.01851702,discovery
